AuthID,FieldID
A-10308,F-2
A-10309,F-1
A-1031,F-12
A-10310,F-9
A-10311,F-9
A-10312,F-8
A-10313,F-12
A-10314,F-10
A-10315,F-6
A-10316,F-5
A-10317,F-11
A-10318,F-2
A-10318,F-8
A-10319,F-12
A-1032,F-14
A-10320,F-13
A-10321,F-9
A-10322,F-1
A-10323,F-2
A-10324,F-14
A-10325,F-11
A-10326,F-14
A-10327,F-11
A-10328,F-8
A-10329,F-8
A-1033,F-14
A-10330,F-1
A-10331,F-2
A-10332,F-0
A-10334,F-14
A-10335,F-13
A-10336,F-6
A-10337,F-7
A-10338,F-8
A-10339,F-0
A-1034,F-6
A-10340,F-7
A-10341,F-14
A-10343,F-2
A-10343,F-8
A-10344,F-1
A-10345,F-3
A-10346,F-5
A-10347,F-7
A-10348,F-10
A-10349,F-12
A-1035,F-2
A-1035,F-9
A-10350,F-0
A-10351,F-12
A-10353,F-2
A-10354,F-10
A-10355,F-5
A-10356,F-11
A-10357,F-14
A-10358,F-0
A-10359,F-4
A-1036,F-10
A-10360,F-8
A-10361,F-1
A-10362,F-13
A-10363,F-10
A-10364,F-4
A-10364,F-9
A-10365,F-0
A-10366,F-12
A-10367,F-1
A-10368,F-14
A-10369,F-4
A-1037,F-7
A-10370,F-6
A-10371,F-1
A-10371,F-9
A-10372,F-1
A-10373,F-2
A-10374,F-11
A-10375,F-1
A-10376,F-6
A-10377,F-11
A-10378,F-7
A-10379,F-6
A-10379,F-11
A-1038,F-5
A-10380,F-0
A-10381,F-8
A-10382,F-3
A-10383,F-6
A-10384,F-14
A-10385,F-10
A-10386,F-1
A-10387,F-3
A-10388,F-5
A-10389,F-13
A-1039,F-5
A-10390,F-9
A-10391,F-2
A-10392,F-2
A-10393,F-1
A-10394,F-9
A-10395,F-4
A-10396,F-2
A-10397,F-2
A-10398,F-1
A-10399,F-2
A-104,F-4
A-1040,F-7
A-10401,F-14
A-10402,F-13
A-10402,F-14
A-10403,F-2
A-10404,F-8
A-10404,F-12
A-10405,F-9
A-10406,F-10
A-10407,F-5
A-10408,F-5
A-10409,F-10
A-1041,F-2
A-10410,F-11
A-10411,F-12
A-10412,F-2
A-10414,F-0
A-10415,F-0
A-10416,F-5
A-10417,F-0
A-10418,F-10
A-10419,F-8
A-1042,F-6
A-10420,F-4
A-10421,F-6
A-10422,F-2
A-10423,F-14
A-10424,F-10
A-10425,F-12
A-10427,F-8
A-10428,F-4
A-10429,F-3
A-1043,F-2
