PaperID,AuthID
E03-3006,A-11578
E06-1001,A-13994
E06-1002,A-1646
E06-1002,A-6801
E06-1003,A-11962
E06-1003,A-16818
E06-1004,A-10714
E06-1004,A-7316
E06-1005,A-11865
E06-1005,A-11841
E06-1005,A-16807
E06-1006,A-15766
E06-1006,A-18794
E06-1007,A-6699
E06-1008,A-2096
E06-1009,A-5204
E06-1009,A-9202
E06-1010,A-4732
E06-1011,A-13446
E06-1011,A-15891
E06-1012,A-11869
E06-1012,A-2383
E06-1013,A-10256
E06-1014,A-9337
E06-1014,A-13198
E06-1015,A-7285
E06-1016,A-15634
E06-1016,A-9944
E06-1017,A-7017
E06-1018,A-16466
E06-1019,A-12753
E06-1019,A-14614
E06-1020,A-738
E06-1020,A-14679
E06-1020,A-9643
E06-1020,A-17110
E06-1021,A-10881
E06-1021,A-670
E06-1022,A-1692
E06-1022,A-4672
E06-1022,A-13969
E06-1023,A-12048
E06-1023,A-16649
E06-1024,A-17522
E06-1024,A-10353
E06-1025,A-11554
E06-1025,A-8080
E06-1026,A-16925
E06-1026,A-6690
E06-1026,A-8863
E06-1027,A-15061
E06-1027,A-9967
E06-1028,A-17697
E06-1028,A-1889
E06-1029,A-5630
E06-1029,A-3842
E06-1029,A-17811
E06-1029,A-5383
E06-1029,A-13903
E06-1030,A-14956
E06-1030,A-5793
E06-1031,A-16945
E06-1031,A-11841
E06-1031,A-16807
E06-1032,A-12678
E06-1032,A-17077
E06-1032,A-15036
E06-1033,A-10073
E06-1033,A-2323
E06-1033,A-10971
E06-1034,A-15023
E06-1035,A-7134
E06-1035,A-9202
E06-1035,A-15164
E06-1036,A-16125
E06-1036,A-1803
E06-1037,A-9535
E06-1037,A-12845
E06-1038,A-13446
E06-1039,A-1083
E06-1039,A-5062
E06-1039,A-16222
E06-1040,A-11678
E06-1040,A-16307
E06-1041,A-15174
E06-1042,A-834
E06-1042,A-17865
E06-1043,A-8176
E06-1043,A-17300
E06-1044,A-921
E06-1044,A-6636
E06-1044,A-9418
E06-1045,A-8740
E06-1045,A-4918
E06-1046,A-10354
E06-1046,A-3245
E06-1047,A-14795
E06-1047,A-5618
E06-1047,A-3633
E06-1047,A-4545
E06-1047,A-18474
E06-1048,A-670
E06-1049,A-3565
E06-1049,A-4962
E06-1049,A-17565
E06-1050,A-386
